POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
660197,656495,656495,USD,1440,2000,YANTIAN,SEATTLE,,180,200,1260,1800,HUANGPU,660197,HUANGPU
660197,656496,656496,USD,1440,2000,YANTIAN,TACOMA,,180,200,1260,1800,HUANGPU,660197,HUANGPU
660197,656495,656569,USD,3540,4150,YANTIAN,SEATTLE,CHICAGO,180,200,3360,3950,HUANGPU,660197,HUANGPU
660197,656495,660244,USD,4050,4750,YANTIAN,SEATTLE,CINCINNATI,180,200,3870,4550,HUANGPU,660197,HUANGPU
660197,656495,657532,USD,4050,4750,YANTIAN,SEATTLE,CLEVELAND,180,200,3870,4550,HUANGPU,660197,HUANGPU
660197,656495,660272,USD,4050,4750,YANTIAN,SEATTLE,COLUMBUS,180,200,3870,4550,HUANGPU,660197,HUANGPU
660197,656495,659550,USD,4135,4850,YANTIAN,SEATTLE,DETROIT,180,200,3955,4650,HUANGPU,660197,HUANGPU
660197,656495,657530,USD,6090,7150,YANTIAN,SEATTLE,INDIANAPOLIS,180,200,5910,6950,HUANGPU,660197,HUANGPU
660197,656495,657099,USD,4390,5150,YANTIAN,SEATTLE,LOUISVILLE,180,200,4210,4950,HUANGPU,660197,HUANGPU
660197,656495,657527,USD,3625,4250,YANTIAN,SEATTLE,MEMPHIS,180,200,3445,4050,HUANGPU,660197,HUANGPU
660197,656495,658126,USD,3540,4150,YANTIAN,SEATTLE,OMAHA,180,200,3360,3950,HUANGPU,660197,HUANGPU
660197,656495,656497,USD,2475,2900,YANTIAN,SEATTLE,PORTLAND,180,200,2295,2700,HUANGPU,660197,HUANGPU
660197,656495,656915,USD,3880,4550,YANTIAN,SEATTLE,ST PAUL,180,200,3700,4350,HUANGPU,660197,HUANGPU
660197,660196,660196,USD,4030,5060,YANTIAN,HONOLULU,,180,200,3850,4860,HUANGPU,660197,HUANGPU
649091,656495,656495,USD,1440,2000,YANTIAN,SEATTLE,,180,200,1260,1800,JIANGMEN,649091,JIANGMEN
649091,656496,656496,USD,1440,2000,YANTIAN,TACOMA,,180,200,1260,1800,JIANGMEN,649091,JIANGMEN
649091,656495,656569,USD,3540,4150,YANTIAN,SEATTLE,CHICAGO,180,200,3360,3950,JIANGMEN,649091,JIANGMEN
649091,656495,660244,USD,4050,4750,YANTIAN,SEATTLE,CINCINNATI,180,200,3870,4550,JIANGMEN,649091,JIANGMEN
649091,656495,657532,USD,4050,4750,YANTIAN,SEATTLE,CLEVELAND,180,200,3870,4550,JIANGMEN,649091,JIANGMEN
649091,656495,660272,USD,4050,4750,YANTIAN,SEATTLE,COLUMBUS,180,200,3870,4550,JIANGMEN,649091,JIANGMEN
649091,656495,659550,USD,4135,4850,YANTIAN,SEATTLE,DETROIT,180,200,3955,4650,JIANGMEN,649091,JIANGMEN
649091,656495,657530,USD,6090,7150,YANTIAN,SEATTLE,INDIANAPOLIS,180,200,5910,6950,JIANGMEN,649091,JIANGMEN
649091,656495,657099,USD,4390,5150,YANTIAN,SEATTLE,LOUISVILLE,180,200,4210,4950,JIANGMEN,649091,JIANGMEN
649091,656495,657527,USD,3625,4250,YANTIAN,SEATTLE,MEMPHIS,180,200,3445,4050,JIANGMEN,649091,JIANGMEN
649091,656495,658126,USD,3540,4150,YANTIAN,SEATTLE,OMAHA,180,200,3360,3950,JIANGMEN,649091,JIANGMEN
649091,656495,656497,USD,2475,2900,YANTIAN,SEATTLE,PORTLAND,180,200,2295,2700,JIANGMEN,649091,JIANGMEN
649091,656495,656915,USD,3880,4550,YANTIAN,SEATTLE,ST PAUL,180,200,3700,4350,JIANGMEN,649091,JIANGMEN
